date,eff_fixed,eff_dynamic,revenue_fixed,revenue_dynamic,revenue_gain_pct
19-06-2022,14.55978254,11.92499995,11445.88956,10315.55535,-9.87545975
20-06-2022,14.99999992,12.60364578,12651.89467,11837.9752,-6.433182449
21-06-2022,14.89062492,12.29999994,12482.37466,11458.76155,-8.200467751
22-06-2022,14.93749992,12.08906244,11947.98602,10731.44423,-10.18198199
23-06-2022,14.98958325,12.44270827,12486.82285,11455.13587,-8.262205672
24-06-2022,14.91145826,12.41770828,12683.51347,11592.88234,-8.598809193
25-06-2022,14.99999993,12.36406245,12680.80505,11523.26176,-9.12831077
26-06-2022,14.71354158,12.1588541,11512.04874,10537.53573,-8.465157072
27-06-2022,14.99999993,12.84843745,13150.32537,12237.04166,-6.944951411
28-06-2022,14.67708326,12.67864578,12917.01421,12090.35185,-6.399794428
29-06-2022,14.99999993,12.58749995,13057.46235,12013.14453,-7.997862046
30-06-2022,14.48437492,12.03437494,12032.20755,11052.5828,-8.141687552
01-07-2022,14.30208326,12.06302078,12911.15659,11962.5312,-7.347330814
02-07-2022,14.50520825,11.67708328,11029.80958,9861.607157,-10.59131995
03-07-2022,14.41145825,11.67552077,10542.23517,9510.266167,-9.788901386
04-07-2022,13.94791658,11.46822911,10831.79132,9853.051639,-9.035806254
05-07-2022,14.43749992,12.14531245,12839.98708,11872.79058,-7.532690618
06-07-2022,14.31770826,12.17864578,12963.56611,12074.30765,-6.859674704
07-07-2022,14.77083325,12.91249994,13777.1467,13115.13201,-4.80516544
08-07-2022,14.33333328,12.52552079,13844.40953,13049.19573,-5.743934411
09-07-2022,13.82812494,11.75312496,11877.81848,10928.5068,-7.992306717
10-07-2022,14.89062493,12.10468745,12030.86901,10779.40158,-10.4021366
11-07-2022,14.89583326,12.54583328,12557.13158,11605.6263,-7.577409471
12-07-2022,14.82812494,12.62187495,12862.53271,11867.72815,-7.734126577
13-07-2022,14.9166666,12.58385412,13137.35552,12039.30868,-8.358202974
14-07-2022,14.99999994,13.28749995,14226.1024,13457.89548,-5.399981646
15-07-2022,14.96874993,13.08593745,14510.93726,13692.37524,-5.641000323
16-07-2022,14.99999993,12.42187495,13169.06986,11995.77575,-8.90946838
17-07-2022,14.98958326,12.09270828,12497.25496,11149.78771,-10.78210581
18-07-2022,14.99999993,12.74687495,13635.00453,12620.55642,-7.440027689
